frame	timestamp	confidence	success	pose_Rx	pose_Ry	pose_Rz	AU01_r	AU02_r	AU04_r	AU05_r	AU06_r	AU07_r	AU09_r	AU10_r	AU12_r	AU14_r	AU15_r	AU17_r	AU20_r	AU23_r	AU25_r	AU26_r	AU45_r	stage
13	0.48	0.98	1	-0.334	-0.107	-0.029	0	0	0	0.73	0	0	0	0	0	0.06	0	0.02	0	0	0.92	0.39	0.17	before
14	0.52	0.98	1	-0.342	-0.109	-0.036	0	0	0	0.42	0	0	0	0	0	0.02	0	0.02	0	0	0.97	0.39	0.33	before
15	0.56	0.98	1	-0.344	-0.108	-0.036	0	0	0	0.25	0	0	0	0	0	0	0	0.06	0	0	0.96	0.34	0.53	before
16	0.6	0.98	1	-0.342	-0.109	-0.037	0	0	0	0.33	0	0	0	0	0	0	0	0.08	0	0	0.95	0.35	0.6	before
17	0.64	0.98	1	-0.342	-0.108	-0.037	0	0	0	0.39	0	0	0	0	0	0	0	0.11	0	0	0.95	0.34	0.67	before
18	0.68	0.98	1	-0.342	-0.109	-0.037	0	0	0	0.36	0	0	0	0	0	0	0	0.16	0	0	0.9	0.24	0.61	before
19	0.72	0.98	1	-0.345	-0.107	-0.039	0	0	0	0.33	0	0	0	0	0	0.04	0	0.21	0	0	0.86	0.12	0.55	before
20	0.76	0.98	1	-0.346	-0.105	-0.04	0	0	0	0.27	0	0	0	0	0	0.04	0	0.2	0	0	0.89	0.05	0.54	before
21	0.8	0.98	1	-0.347	-0.105	-0.039	0	0	0	0.24	0	0	0	0	0	0.04	0	0.11	0	0	1.01	0.05	0.64	before
22	0.84	0.98	1	-0.347	-0.105	-0.039	0	0	0	0.24	0	0	0	0	0	0	0	0.03	0.01	0	1.11	0.05	0.7	before
23	0.88	0.98	1	-0.347	-0.105	-0.039	0	0.16	0	0.18	0	0	0	0	0	0	0	0.01	0.01	0	1.09	0.01	0.85	before
24	0.92	0.98	1	-0.356	-0.103	-0.034	0	0.34	0	0.31	0	0	0	0	0	0	0	0	0.01	0	0.86	0.03	0.91	before
25	0.96	0.98	1	-0.356	-0.106	-0.033	0	0.34	0	0.24	0	0	0	0	0	0	0	0	0	0	0.76	0.03	0.68	before
26	1	0.98	1	-0.346	-0.106	-0.024	0	0.17	0	0.23	0	0	0	0	0	0	0	0	0	0	0.7	0.02	0.31	before
27	1.04	0.98	1	-0.345	-0.107	-0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77	0	0.01	before
28	1.08	0.98	1	-0.344	-0.107	-0.023	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0.82	0	0.03	before
29	1.12	0.98	1	-0.347	-0.106	-0.022	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0.89	0.03	0.06	before
30	1.16	0.98	1	-0.346	-0.107	-0.022	0	0	0	0.05	0	0.03	0	0	0	0	0	0	0	0	0.94	0.09	0.14	before
31	1.2	0.98	1	-0.343	-0.106	-0.022	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0.89	0.11	0.21	before
32	1.24	0.98	1	-0.343	-0.106	-0.022	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0.85	0.12	0.27	before
33	1.28	0.98	1	-0.343	-0.106	-0.022	0	0.05	0	0.09	0	0.06	0	0	0	0	0	0.02	0	0	0.76	0.08	0.23	before
34	1.32	0.98	1	-0.345	-0.107	-0.021	0	0.14	0	0.19	0	0.05	0	0	0	0	0	0.02	0	0	0.71	0.07	0.17	before
35	1.36	0.98	1	-0.345	-0.107	-0.02	0	0.14	0	0.32	0	0.02	0	0	0	0	0	0.02	0	0	0.77	0.04	0.08	before
36	1.4	0.98	1	-0.342	-0.106	-0.016	0	0.09	0	0.36	0	0.02	0	0	0	0	0	0	0	0	0.91	0.02	0.04	before
37	1.44	0.98	1	-0.341	-0.105	-0.015	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	1.02	0	0.01	before
38	1.48	0.98	1	-0.341	-0.105	-0.015	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0.98	0.02	0.01	before
39	1.52	0.98	1	-0.331	-0.108	-0.017	0	0	0	0.26	0	0	0	0	0	0	0	0	0	0	0.99	0.07	0	before
40	1.56	0.98	1	-0.33	-0.107	-0.018	0	0.08	0	0.14	0	0	0	0	0	0.04	0	0	0	0	0.97	0.15	0	before
41	1.6	0.98	1	-0.337	-0.102	-0.017	0	0.12	0	0.07	0	0	0	0	0	0.04	0	0	0	0	0.98	0.23	0	before
42	1.64	0.98	1	-0.338	-0.102	-0.017	0	0.16	0	0.05	0	0	0	0	0	0.04	0	0	0	0	0.96	0.28	0	before
43	1.68	0.98	1	-0.338	-0.102	-0.017	0	0.18	0	0.08	0	0	0	0	0	0.02	0	0	0	0	0.89	0.32	0	before
44	1.72	0.98	1	-0.346	-0.103	-0.018	0	0.17	0	0.1	0	0	0	0	0	0.02	0	0	0	0	0.83	0.4	0	before
45	1.76	0.98	1	-0.346	-0.104	-0.018	0	0.13	0	0.07	0	0	0	0	0	0.02	0	0	0	0	0.74	0.4	0	before
46	1.8	0.98	1	-0.345	-0.109	-0.019	0	0.04	0	0.06	0	0	0	0	0	0	0	0	0	0	0.78	0.35	0	before
47	1.84	0.98	1	-0.345	-0.109	-0.019	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0.78	0.26	0	before
48	1.88	0.98	1	-0.345	-0.109	-0.019	0	0.03	0	0.1	0	0	0	0	0	0	0	0	0	0	0.77	0.17	0.02	before
49	1.92	0.98	1	-0.347	-0.107	-0.018	0	0.09	0	0.1	0	0	0	0	0	0	0	0	0	0	0.71	0.09	0.02	before
50	1.96	0.98	1	-0.348	-0.107	-0.018	0	0.13	0	0.08	0	0	0	0	0	0	0	0	0	0	0.68	0.01	0.02	before
51	2	0.98	1	-0.348	-0.107	-0.018	0	0.1	0	0.16	0	0	0	0	0	0	0	0	0	0	0.67	0.01	0.01	before
52	2.04	0.98	1	-0.342	-0.105	-0.019	0	0.05	0	0.22	0	0	0	0	0	0	0	0	0	0	0.7	0.01	0.01	before
53	2.08	0.98	1	-0.342	-0.105	-0.019	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0.92	0.09	0.12	before
54	2.12	0.98	1	-0.349	-0.107	-0.023	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0	1.14	0.14	0.27	before
55	2.16	0.98	1	-0.35	-0.107	-0.023	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	1.35	0.18	0.41	before
56	2.2	0.98	1	-0.351	-0.106	-0.023	0	0.1	0	0.4	0	0	0	0	0	0	0	0	0	0	1.33	0.16	0.43	before
57	2.24	0.98	1	-0.351	-0.108	-0.024	0	0.19	0	0.41	0	0	0	0	0	0	0	0	0	0	1.29	0.14	0.42	before
58	2.28	0.98	1	-0.35	-0.109	-0.024	0	0.37	0	0.36	0	0	0	0	0	0	0	0	0	0	1.17	0.13	0.55	before
59	2.32	0.98	1	-0.353	-0.108	-0.025	0	0.41	0	0.3	0	0	0	0	0	0	0	0	0	0	1.11	0.1	0.71	before
60	2.36	0.98	1	-0.353	-0.108	-0.025	0	0.42	0	0.26	0	0	0	0	0	0	0	0	0	0	0.94	0.06	0.76	before
61	2.4	0.98	1	-0.354	-0.106	-0.025	0	0.35	0	0.26	0	0	0	0	0	0	0	0	0	0	0.88	0.04	0.7	before
62	2.44	0.98	1	-0.35	-0.105	-0.026	0	0.31	0	0.21	0	0	0	0	0	0	0	0	0	0	0.75	0	0.64	before
63	2.48	0.98	1	-0.35	-0.105	-0.026	0	0.2	0	0.22	0	0	0	0	0	0	0	0	0	0	0.84	0.1	0.69	before
64	2.52	0.98	1	-0.35	-0.107	-0.026	0	0.11	0	0.17	0	0	0	0	0	0	0	0	0	0	0.91	0.16	0.74	before
65	2.56	0.98	1	-0.349	-0.108	-0.026	0	0.02	0	0.09	0	0	0	0	0	0	0	0	0	0	1.02	0.22	0.75	before
66	2.6	0.98	1	-0.349	-0.108	-0.026	0	0.02	0	0.09	0	0	0	0	0	0	0	0	0	0	0.99	0.13	0.71	before
67	2.64	0.98	1	-0.354	-0.11	-0.026	0	0.02	0	0.18	0	0	0	0	0	0	0	0	0	0	0.93	0.07	0.65	before
68	2.68	0.98	1	-0.353	-0.11	-0.027	0	0.1	0	0.25	0	0	0	0	0	0	0	0	0	0	0.85	0.01	0.69	before
69	2.72	0.98	1	-0.35	-0.109	-0.026	0	0.18	0	0.26	0	0	0	0	0	0	0	0	0	0	0.87	0	0.77	before
70	2.76	0.98	1	-0.349	-0.109	-0.026	0	0.21	0	0.23	0	0	0	0	0	0	0	0	0	0	0.88	0.01	0.9	before
71	2.8	0.98	1	-0.349	-0.109	-0.025	0	0.23	0	0.33	0	0	0	0	0	0.02	0	0	0	0	0.91	0.02	0.99	before
72	2.84	0.98	1	-0.351	-0.107	-0.025	0	0.19	0	0.46	0	0	0	0	0	0.02	0	0	0.02	0	0.98	0.05	1.01	before
73	2.88	0.98	1	-0.348	-0.106	-0.024	0	0.19	0	0.49	0	0	0	0	0	0.05	0	0	0.1	0	1.05	0.07	0.89	before
74	2.92	0.98	1	-0.352	-0.107	-0.024	0	0.13	0	0.47	0	0	0	0	0	0.04	0	0	0.15	0	1.11	0.07	0.73	before
75	2.96	0.98	1	-0.353	-0.107	-0.025	0	0.13	0	0.38	0	0	0	0	0	0.05	0	0	0.19	0	1.09	0.05	0.64	before
76	3	0.98	1	-0.353	-0.107	-0.025	0	0.11	0	0.3	0	0	0	0	0	0.04	0	0	0.1	0	1.04	0.11	0.57	before
77	3.04	0.98	1	-0.342	-0.106	-0.025	0	0.1	0	0.17	0	0	0	0	0	0.09	0	0	0.05	0	1.09	0.21	0.46	before
78	3.08	0.98	1	-0.341	-0.105	-0.025	0	0.12	0	0.16	0	0	0	0	0	0.08	0	0	0	0	1.1	0.3	0.32	before
79	3.12	0.98	1	-0.346	-0.107	-0.029	0	0.16	0	0.29	0	0	0	0	0	0.05	0	0.03	0	0	1.17	0.32	0.28	before
80	3.16	0.98	1	-0.345	-0.106	-0.029	0	0.2	0	0.46	0	0	0	0	0	0	0	0.05	0	0	1.17	0.3	0.27	before
81	3.2	0.98	1	-0.345	-0.106	-0.029	0	0.23	0	0.53	0	0	0	0	0	0	0	0.05	0	0	1.17	0.3	0.19	before
82	3.24	0.98	1	-0.343	-0.104	-0.028	0	0.2	0	0.51	0	0	0	0	0	0	0	0.02	0	0	1.14	0.26	0.1	before
83	3.28	0.98	1	-0.34	-0.105	-0.027	0	0.14	0	0.34	0	0	0	0	0	0	0	0	0	0	1.15	0.22	0.05	before
84	3.32	0.98	1	-0.343	-0.103	-0.03	0	0.05	0	0.16	0	0	0	0	0	0	0	0	0	0	1.15	0.24	0.19	before
85	3.36	0.98	1	-0.352	-0.104	-0.033	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	1.15	0.24	0.3	before
86	3.4	0.98	1	-0.353	-0.102	-0.033	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	1.1	0.23	0.27	before
87	3.44	0.98	1	-0.352	-0.103	-0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06	0.15	0.16	before
88	3.48	0.98	1	-0.352	-0.102	-0.03	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.92	0.2	0.06	before
89	3.52	0.98	1	-0.346	-0.101	-0.028	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.74	0.18	0.04	before
90	3.56	0.98	1	-0.345	-0.102	-0.027	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.58	0.14	0.03	before
91	3.6	0.98	1	-0.345	-0.102	-0.027	0	0	0	0.02	0	0	0	0	0	0	0	0.03	0	0	0.6	0.07	0.2	before
92	3.64	0.98	1	-0.341	-0.104	-0.025	0	0	0	0.02	0	0	0	0	0	0	0	0.06	0	0	0.68	0.11	0.28	before
93	3.68	0.98	1	-0.339	-0.104	-0.025	0	0	0	0.02	0	0	0	0	0	0.02	0	0.06	0	0	0.89	0.27	0.4	before
94	3.72	0.98	1	-0.344	-0.103	-0.027	0	0	0	0	0	0	0	0	0	0.03	0	0.03	0	0	1.03	0.38	0.37	before
95	3.76	0.98	1	-0.343	-0.104	-0.027	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	1.15	0.48	0.44	before
96	3.8	0.98	1	-0.343	-0.104	-0.027	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	1.07	0.37	0.39	before
97	3.84	0.98	1	-0.347	-0.106	-0.029	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	1.01	0.26	0.34	before
98	3.88	0.98	1	-0.346	-0.106	-0.029	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.97	0.21	0.26	before
99	3.92	0.98	1	-0.343	-0.113	-0.03	0	0.01	0	0.04	0	0	0	0	0	0	0	0	0	0	1	0.31	0.22	before
100	3.96	0.98	1	-0.342	-0.113	-0.03	0	0.01	0	0.05	0	0	0	0	0	0	0	0	0	0	1.03	0.38	0.17	before
101	4	0.98	1	-0.341	-0.113	-0.03	0	0.03	0	0.15	0	0	0	0	0	0	0	0.05	0	0	1.07	0.35	0.15	before
102	4.04	0.98	1	-0.345	-0.12	-0.03	0	0.02	0	0.27	0	0.01	0	0	0	0	0	0.09	0	0	1.11	0.28	0.13	before
103	4.08	0.98	1	-0.345	-0.119	-0.029	0.03	0.1	0	0.38	0	0.01	0	0	0	0	0	0.09	0	0	1.03	0.27	0.24	before
104	4.12	0.98	1	-0.353	-0.12	-0.033	0.03	0.14	0	0.45	0	0.01	0	0	0	0	0	0.04	0	0	0.92	0.32	0.37	before
105	4.16	0.98	1	-0.354	-0.119	-0.033	0.03	0.2	0	0.47	0	0	0	0	0	0	0	0	0	0	0.78	0.37	0.55	before
106	4.2	0.98	1	-0.353	-0.119	-0.033	0.01	0.12	0	0.36	0	0	0	0	0	0	0	0	0	0	0.76	0.28	0.51	before
107	4.24	0.98	1	-0.345	-0.116	-0.031	0	0.13	0	0.28	0	0	0	0	0	0	0	0	0	0	0.77	0.17	0.42	before
108	4.28	0.98	1	-0.346	-0.116	-0.031	0	0.13	0	0.25	0	0	0	0	0	0	0	0	0	0	0.83	0.09	0.43	before
109	4.32	0.98	1	-0.345	-0.109	-0.029	0	0.17	0	0.35	0	0	0	0	0	0	0	0	0	0	0.93	0.13	0.58	before
110	4.36	0.98	1	-0.345	-0.109	-0.029	0	0.12	0	0.39	0	0	0	0	0	0	0	0	0	0	1.02	0.23	0.74	before
111	4.4	0.98	1	-0.345	-0.109	-0.029	0	0.06	0	0.41	0	0	0	0	0	0	0	0	0	0	1.13	0.31	0.71	before
112	4.44	0.98	1	-0.345	-0.111	-0.027	0	0.03	0	0.48	0	0	0	0	0	0	0	0	0.05	0	1.22	0.36	0.65	before
113	4.48	0.98	1	-0.344	-0.112	-0.026	0	0	0	0.47	0	0	0	0	0	0	0	0	0.05	0	1.3	0.34	0.47	before
114	4.52	0.98	1	-0.34	-0.111	-0.026	0	0	0	0.38	0	0	0	0	0	0	0	0	0.05	0	1.29	0.38	0.38	before
115	4.56	0.98	1	-0.339	-0.11	-0.026	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0	1.25	0.39	0.24	before
116	4.6	0.98	1	-0.339	-0.11	-0.025	0	0	0	0.21	0	0.02	0	0	0	0	0	0	0	0	1.21	0.41	0.22	before
117	4.64	0.98	1	-0.347	-0.107	-0.032	0	0.03	0	0.22	0	0.02	0	0	0	0	0	0	0	0	1.13	0.33	0.22	before
118	4.68	0.98	1	-0.348	-0.106	-0.032	0	0.03	0	0.2	0	0.02	0	0	0	0	0	0	0	0	1.09	0.27	0.17	before
119	4.72	0.98	1	-0.347	-0.107	-0.032	0.01	0.13	0	0.25	0	0	0	0	0	0	0	0	0	0	1.02	0.16	0.21	before
120	4.76	0.98	1	-0.352	-0.107	-0.034	0.01	0.1	0	0.25	0	0	0	0	0	0	0	0	0	0	1.09	0.21	0.24	before
121	4.8	0.98	1	-0.355	-0.109	-0.035	0.01	0.1	0	0.27	0	0	0	0	0	0	0	0	0	0	1.04	0.22	0.32	before
122	4.84	0.98	1	-0.352	-0.102	-0.035	0	0.01	0	0.21	0	0	0	0	0	0	0	0	0	0	1.05	0.3	0.35	before
123	4.88	0.98	1	-0.352	-0.101	-0.035	0	0.01	0	0.19	0	0	0	0	0	0	0	0	0	0	0.98	0.24	0.37	before
124	4.92	0.98	1	-0.352	-0.101	-0.035	0	0.01	0	0.14	0	0	0	0	0	0	0	0	0	0	1.02	0.21	0.41	before
125	4.96	0.98	1	-0.344	-0.106	-0.033	0	0.02	0	0.12	0	0	0	0	0	0	0	0	0	0	1.02	0.22	0.41	before
126	5	0.98	1	-0.345	-0.106	-0.033	0	0.09	0	0.16	0	0	0	0	0	0	0	0	0	0	1.01	0.21	0.46	before
127	5.04	0.98	1	-0.342	-0.105	-0.032	0	0.13	0	0.24	0	0	0	0	0	0	0	0	0	0	0.95	0.2	0.49	before
128	5.08	0.98	1	-0.343	-0.105	-0.032	0	0.19	0	0.34	0	0	0	0	0	0	0	0	0	0	0.91	0.16	0.56	before
129	5.12	0.98	1	-0.343	-0.104	-0.032	0	0.16	0	0.3	0	0.01	0	0	0	0	0	0	0	0	0.91	0.24	0.54	before
130	5.16	0.98	1	-0.35	-0.105	-0.033	0	0.19	0	0.3	0	0.06	0	0	0	0	0	0	0	0	1	0.36	0.55	before
131	5.2	0.98	1	-0.349	-0.106	-0.033	0	0.23	0	0.17	0	0.09	0	0	0	0	0	0	0	0	1.04	0.41	0.43	before
132	5.24	0.98	1	-0.344	-0.103	-0.03	0	0.2	0	0.28	0	0.07	0	0	0	0	0	0	0	0	1.1	0.43	0.41	before
133	5.28	0.98	1	-0.346	-0.104	-0.032	0	0.12	0	0.3	0	0.03	0	0	0	0	0	0	0	0	1.13	0.44	0.34	before
134	5.32	0.98	1	-0.346	-0.104	-0.032	0	0.01	0	0.36	0	0.01	0	0	0	0	0	0	0	0	1.15	0.4	0.37	before
135	5.36	0.98	1	-0.347	-0.102	-0.031	0	0	0	0.27	0	0.01	0	0	0	0	0	0	0	0	1.1	0.29	0.39	before
136	5.4	0.98	1	-0.346	-0.102	-0.031	0	0.01	0	0.3	0	0.01	0	0	0	0	0	0	0.01	0	1.01	0.16	0.41	before
137	5.44	0.98	1	-0.346	-0.104	-0.03	0	0.01	0	0.38	0	0	0	0	0	0	0	0	0.01	0	0.99	0.14	0.4	before
138	5.48	0.98	1	-0.345	-0.104	-0.03	0	0.01	0	0.41	0	0	0	0	0	0	0	0	0.01	0	1	0.12	0.36	before
139	5.52	0.98	1	-0.345	-0.104	-0.03	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0.98	0.2	0.22	before
140	5.56	0.98	1	-0.352	-0.105	-0.029	0	0	0	0.27	0	0.01	0	0	0	0	0	0	0	0	0.97	0.31	0.11	before
141	5.6	0.98	1	-0.351	-0.105	-0.029	0	0	0	0.18	0	0.01	0	0	0	0	0	0	0	0	0.99	0.32	0	before
142	5.64	0.98	1	-0.346	-0.102	-0.023	0	0	0	0.1	0	0.01	0	0	0	0	0	0	0	0	1.06	0.24	0	before
143	5.68	0.98	1	-0.348	-0.102	-0.022	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	1.11	0.16	0	before
144	5.72	0.98	1	-0.348	-0.103	-0.022	0	0	0	0.16	0	0.01	0	0	0	0	0	0	0	0	0.93	0.13	0.05	before
145	5.76	0.98	1	-0.344	-0.103	-0.023	0	0	0	0.32	0	0.01	0	0	0	0	0	0	0	0	0.78	0.08	0.08	before
146	5.8	0.98	1	-0.343	-0.103	-0.023	0	0	0	0.53	0	0.01	0	0	0	0	0	0	0	0	0.67	0.07	0.08	before
147	5.84	0.98	1	-0.341	-0.102	-0.021	0	0	0	0.59	0	0	0	0	0	0.03	0	0	0	0	0.74	0.14	0.02	before
148	5.88	0.98	1	-0.341	-0.102	-0.02	0	0	0	0.63	0	0	0	0	0	0.05	0	0	0	0	0.78	0.2	0	before
149	5.92	0.98	1	-0.341	-0.102	-0.02	0	0.02	0	0.62	0	0	0	0	0	0.05	0	0	0	0	0.75	0.25	0	before
150	5.96	0.98	1	-0.342	-0.101	-0.02	0	0.05	0	0.53	0	0	0	0	0	0.02	0	0	0	0	0.71	0.24	0	before
151	6	0.98	1	-0.341	-0.1	-0.02	0	0.05	0	0.65	0	0	0	0	0	0	0	0	0	0	0.7	0.29	0	before
152	6.04	0.98	1	-0.344	-0.104	-0.02	0	0.06	0	0.76	0	0	0	0	0	0	0	0	0	0	0.7	0.28	0	before
153	6.08	0.98	1	-0.343	-0.104	-0.02	0	0.05	0	0.93	0	0	0	0	0	0	0	0	0	0	0.7	0.31	0	before
154	6.12	0.98	1	-0.343	-0.104	-0.02	0	0.05	0	0.88	0	0	0	0	0	0	0	0	0	0	0.81	0.34	0	before
155	6.16	0.98	1	-0.341	-0.101	-0.018	0	0.05	0	0.9	0	0	0	0	0	0	0	0	0	0	0.94	0.36	0	before
156	6.2	0.98	1	-0.341	-0.102	-0.017	0	0.03	0	0.8	0	0	0	0	0	0	0	0	0	0	0.99	0.34	0	before
157	6.24	0.98	1	-0.345	-0.103	-0.022	0	0.03	0	0.77	0	0	0	0	0	0	0	0	0	0	0.93	0.26	0	before
158	6.28	0.98	1	-0.346	-0.102	-0.022	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0.83	0.18	0	before
159	6.32	0.98	1	-0.347	-0.101	-0.023	0	0	0	0.65	0	0	0	0.02	0	0	0	0	0	0	0.96	0.12	0	before
160	6.36	0.98	1	-0.346	-0.102	-0.02	0	0	0	0.57	0	0	0	0.03	0	0	0	0	0	0	1.08	0.14	0.02	before
161	6.4	0.98	1	-0.346	-0.102	-0.02	0	0	0	0.57	0	0	0	0.03	0	0	0	0	0	0	1.2	0.1	0.02	before
162	6.44	0.98	1	-0.341	-0.104	-0.023	0	0	0	0.68	0	0	0	0.01	0	0	0	0	0	0	1.14	0.08	0.02	before
163	6.48	0.98	1	-0.341	-0.103	-0.023	0	0	0	0.74	0	0	0	0	0	0	0	0	0	0	1.07	0	0	before
164	6.52	0.98	1	-0.342	-0.103	-0.023	0	0	0	0.61	0	0	0	0	0	0	0	0	0	0	1.04	0.15	0	before
165	6.56	0.98	1	-0.347	-0.104	-0.025	0	0	0	0.48	0	0	0	0	0	0	0	0	0	0	0.98	0.28	0	before
166	6.6	0.98	1	-0.347	-0.103	-0.025	0	0	0	0.34	0.01	0.03	0	0	0	0	0	0	0	0	0.9	0.35	0	before
167	6.64	0.98	1	-0.342	-0.104	-0.028	0	0	0	0.38	0.02	0.09	0	0	0	0	0	0	0	0	0.8	0.29	0	before
168	6.68	0.98	1	-0.342	-0.103	-0.028	0	0.02	0	0.46	0.02	0.09	0	0	0	0	0	0	0	0	0.81	0.2	0	before
169	6.72	0.98	1	-0.343	-0.105	-0.028	0	0.02	0	0.44	0.01	0.08	0	0	0	0	0	0	0.05	0	0.86	0.13	0	before
170	6.76	0.98	1	-0.345	-0.102	-0.026	0	0.02	0	0.37	0	0.07	0	0	0	0	0	0	0.12	0	0.93	0.04	0	before
171	6.8	0.98	1	-0.345	-0.103	-0.026	0	0	0	0.39	0	0.07	0	0	0	0	0	0	0.12	0	0.95	0.05	0	before
172	6.84	0.98	1	-0.346	-0.104	-0.03	0	0	0	0.54	0	0.05	0	0	0	0	0	0	0.07	0	0.93	0.1	0	before
173	6.88	0.98	1	-0.346	-0.104	-0.03	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0.91	0.17	0	before
174	6.92	0.98	1	-0.346	-0.104	-0.03	0	0	0	0.76	0	0	0	0	0	0	0	0	0	0	0.85	0.27	0	before
175	6.96	0.98	1	-0.345	-0.103	-0.03	0	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0.84	0.29	0	before
176	7	0.98	1	-0.346	-0.102	-0.031	0	0	0	0.96	0	0	0	0	0	0	0	0	0	0	0.78	0.29	0.01	before
177	7.04	0.98	1	-0.35	-0.099	-0.032	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0.71	0.23	0.01	before
178	7.08	0.98	1	-0.349	-0.1	-0.032	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0.61	0.22	0.05	before
179	7.12	0.98	1	-0.35	-0.099	-0.032	0	0	0	0.92	0	0	0	0	0	0	0	0	0	0	0.72	0.19	0.13	before
180	7.16	0.98	1	-0.351	-0.102	-0.033	0	0	0	0.76	0	0	0	0	0	0	0	0	0	0	0.87	0.16	0.3	before
181	7.2	0.98	1	-0.351	-0.103	-0.034	0	0	0	0.78	0	0	0	0	0	0	0	0.04	0	0	0.96	0.15	0.29	before
182	7.24	0.98	1	-0.345	-0.106	-0.034	0	0	0	0.87	0	0	0	0	0	0	0	0.1	0	0	0.95	0.19	0.24	before
183	7.28	0.98	1	-0.345	-0.104	-0.035	0	0	0	1.03	0	0	0	0	0	0	0	0.13	0	0	0.93	0.22	0.1	before
184	7.32	0.98	1	-0.344	-0.104	-0.035	0	0	0	0.93	0	0	0	0	0	0	0	0.09	0	0	0.99	0.31	0.23	before
185	7.36	0.98	1	-0.353	-0.098	-0.038	0	0	0	0.87	0	0	0	0	0	0	0	0.03	0	0	1.01	0.35	0.28	before
186	7.4	0.98	1	-0.353	-0.097	-0.038	0	0	0	0.8	0	0	0	0	0	0	0	0.04	0	0	0.9	0.3	0.26	before
187	7.44	0.98	1	-0.348	-0.102	-0.04	0	0	0	0.87	0	0	0	0	0	0	0	0.04	0	0	0.77	0.25	0.2	before
188	7.48	0.98	1	-0.358	-0.099	-0.041	0	0	0	0.93	0	0	0	0	0	0	0	0.08	0	0	0.64	0.14	0.17	before
